date,time,people,building,floor,weight (kg),num_contam,plastic,metal,glass,Other,NOTES,POSTER,SIGNAGE,item_per_kilo
March 8,4:00pm-5:30pm,Shannon and Caroline,Braeburn,10,0.25,2,2,0,0,,,"A,C",1,8
March 8,4:00pm-5:30pm,Shannon and Caroline,Braeburn,9,0.7,2,2,0,0,,,"A,C",1,2.857142857
March 8,4:00pm-5:30pm,Shannon and Caroline,Braeburn,8,0.75,3,3,0,0,,,"A,C,D",1,4
March 8,4:00pm-5:30pm,Shannon and Caroline,Braeburn,7,0.15,0,0,0,0,,,"A,B",1,0
March 8,4:00pm-5:30pm,Shannon and Caroline,Braeburn,6,0.35,1,1,0,0,,,"A,C",1,2.857142857
March 8,4:00pm-5:30pm,Shannon and Caroline,Braeburn,5,0,0,0,0,0,,,"A,C",1,0
March 8,4:00pm-5:30pm,Shannon and Caroline,Braeburn,4,0.45,7,7,0,0,,,"A,C",1,15.55555556
March 8,4:00pm-5:30pm,Shannon and Caroline,Braeburn,3,0.45,0,0,0,0,,,A,1,0
March 18,4:30pm-6:00pm,Shannon and Caroline,Bartlett ,20,0,0,0,0,0,,,,,0
March 18,4:30pm-6:00pm,Shannon and Caroline,Bartlett ,19,1.1,7,7,0,0,,,,,6.363636364
March 18,4:30pm-6:00pm,Shannon and Caroline,Bartlett ,18,0,0,0,0,0,,,,,0
March 18,4:30pm-6:00pm,Shannon and Caroline,Bartlett ,17,0.35,0,0,0,0,,,,,0
March 18,4:30pm-6:00pm,Shannon and Caroline,Bartlett ,16,0,0,0,0,0,,,,,0
March 18,4:30pm-6:00pm,Shannon and Caroline,Bartlett ,15,0,1,1,0,0,,,,,0
March 18,4:30pm-6:00pm,Shannon and Caroline,Bartlett ,14,0.25,1,1,0,0,,,,,4
March 18,4:30pm-6:00pm,Shannon and Caroline,Bartlett ,13,0.65,0,0,0,0,,,,,0
March 18,4:30pm-6:00pm,Shannon and Caroline,Bartlett ,12,0.7,0,0,0,0,,,,,0
March 18,4:30pm-6:00pm,Shannon and Caroline,Bartlett ,11,0,0,0,0,0,,,,,0
March 18,4:30pm-6:00pm,Shannon and Caroline,Bartlett ,10,1.2,0,0,0,0,,,,,0
March 18,4:30pm-6:00pm,Shannon and Caroline,Bartlett ,9,0.3,3,2,1,0,Key,,,,10
March 18,4:30pm-6:00pm,Shannon and Caroline,Bartlett ,8,0,0,0,0,0,,,,,0
March 18,4:30pm-6:00pm,Shannon and Caroline,Bartlett ,7,1.05,0,0,0,0,,,,,0
March 18,4:30pm-6:00pm,Shannon and Caroline,Bartlett ,6,0.35,0,0,0,0,,,,,0
March 18,4:30pm-6:00pm,Shannon and Caroline,Bartlett ,5,0.3,0,0,0,0,,,,,0
March 18,4:30pm-6:00pm,Shannon and Caroline,Bartlett ,4,0.35,0,0,0,0,,,,,0
March 18,4:30pm-6:00pm,Shannon and Caroline,Bartlett ,3,0.2,0,0,0,0,,,,,0
March 18,4:30pm-6:00pm,Shannon and Caroline,Braeburn,19,0.25,0,0,0,0,,,,,0
March 18,4:30pm-6:00pm,Shannon and Caroline,Braeburn,18,0.75,0,0,0,0,,,,,0
March 18,4:30pm-6:00pm,Shannon and Caroline,Braeburn,17,0.45,1,1,0,0,,,,,2.222222222
March 18,4:30pm-6:00pm,Shannon and Caroline,Braeburn,16,0.45,0,0,0,0,,,,,0
March 18,4:30pm-6:00pm,Shannon and Caroline,Braeburn,15,0.45,0,0,0,0,,,,,0
March 18,4:30pm-6:00pm,Shannon and Caroline,Braeburn,14,0,0,0,0,0,New sign!!,,,,0
March 18,4:30pm-6:00pm,Shannon and Caroline,Braeburn,13,0.2,21,21,0,0,,,,,105
March 18,4:30pm-6:00pm,Shannon and Caroline,Braeburn,12,0.5,1,1,0,0,,,,,2
March 18,4:30pm-6:00pm,Shannon and Caroline,Braeburn,11,0.35,2,2,0,0,,,,,5.714285714
March 18,4:30pm-6:00pm,Shannon and Caroline,Braeburn,10,0.55,1,1,0,0,,,,,1.818181818
March 18,4:30pm-6:00pm,Shannon and Caroline,Braeburn,9,0.5,0,0,0,0,,,,,0
March 18,4:30pm-6:00pm,Shannon and Caroline,Braeburn,8,0.35,0,0,0,0,,,,,0
March 18,4:30pm-6:00pm,Shannon and Caroline,Braeburn,7,0,0,0,0,0,,,,,0
March 18,4:30pm-6:00pm,Shannon and Caroline,Braeburn,6,0.3,1,1,0,0,,,,,3.333333333
March 18,4:30pm-6:00pm,Shannon and Caroline,Braeburn,5,0.2,1,1,0,0,,,,,5
March 18,4:30pm-6:00pm,Shannon and Caroline,Braeburn,4,0.6,1,1,0,0,,,,,1.666666667
March 18,4:30pm-6:00pm,Shannon and Caroline,Braeburn,3,0.4,3,3,0,0,,,,,7.5
March 19,5:00-6:30pm,Brenda & Ece ,Braeburn,19,0.2,0,0,0,0,,,,,0
March 19,5:00-6:30pm,Brenda & Ece,Braeburn,18,0.8,0,0,0,0,,,,,0
March 19,5:00-6:30pm,Brenda & Ece,Braeburn,17,0.3,1,1,0,0,,,,,3.333333333
March 19,5:00-6:30pm,Brenda & Ece,Braeburn,16,1.01,0,0,0,0,,,,,0
March 19,5:00-6:30pm,Brenda & Ece,Braeburn,15,0.35,0,0,0,0,,,,,0
March 19,5:00-6:30pm,Brenda & Ece,Braeburn,14,1.1,4,4,0,0,,,,,3.636363636
March 19,5:00-6:30pm,Brenda & Ece,Braeburn,13,0.1,1,1,0,0,,,,,10
March 19,5:00-6:30pm,Brenda & Ece,Braeburn,12,0.1,0,0,0,0,,,,,0
March 19,5:00-6:30pm,Brenda & Ece,Braeburn,11,0.75,1,1,0,0,,,,,1.333333333
March 19,5:00-6:30pm,Brenda & Ece,Braeburn,10,0.25,0,0,0,0,,,,,0
March 19,5:00-6:30pm,Brenda & Ece,Braeburn,9,0,0,0,0,0,,,,,0
March 19,5:00-6:30pm,Brenda & Ece,Braeburn,8,0.45,0,0,0,0,,,,,0
March 19,5:00-6:30pm,Brenda & Ece,Braeburn,7,0.4,0,0,0,0,,,,,0
March 19,5:00-6:30pm,Brenda & Ece,Braeburn,6,0.25,0,0,0,0,,,,,0
March 19,5:00-6:30pm,Brenda & Ece,Braeburn,5,0.55,2,2,0,0,,,,,3.636363636
March 19,5:00-6:30pm,Brenda & Ece,Braeburn,4,0.7,0,0,0,0,,,,,0
March 19,5:00-6:30pm,Brenda & Ece,Braeburn,3,0.35,1,1,0,0,,,,,2.857142857
March 19,5:00-6:30pm,Brenda & Ece ,Bartlett ,20,0.2,0,0,0,0,,,,,0
March 19,5:00-6:30pm,Brenda & Ece ,Bartlett,19,0.45,0,0,0,0,,,,,0
March 19,5:00-6:30pm,Brenda & Ece ,Bartlett,18,0.1,0,0,0,0,,,,,0
March 19,5:00-6:30pm,Brenda & Ece ,Bartlett,17,0.7,0,0,0,0,,,,,0
March 19,5:00-6:30pm,Brenda & Ece ,Bartlett,16,0.35,0,0,0,0,,,,,0
March 19,5:00-6:30pm,Brenda & Ece ,Bartlett,15,1.9,6,6,0,0,,,,,3.157894737
March 19,5:00-6:30pm,Brenda & Ece ,Bartlett,14,0.35,0,0,0,0,,,,,0
March 19,5:00-6:30pm,Brenda & Ece ,Bartlett,13,2.35,1,1,0,0,,,,,0.4255319149
March 19,5:00-6:30pm,Brenda & Ece ,Bartlett,12,0.6,2,2,0,0,,,,,3.333333333
March 19,5:00-6:30pm,Brenda & Ece ,Bartlett,11,0.15,1,1,0,0,,,,,6.666666667
March 19,5:00-6:30pm,Brenda & Ece ,Bartlett,10,0.55,1,1,0,0,,,,,1.818181818
March 19,5:00-6:30pm,Brenda & Ece ,Bartlett,9,0.2,1,1,0,0,,,,,5
March 19,5:00-6:30pm,Brenda & Ece ,Bartlett,8,0.5,0,0,0,0,,,,,0
March 19,5:00-6:30pm,Brenda & Ece ,Bartlett,7,0.2,1,1,0,0,,,,,5
March 19,5:00-6:30pm,Brenda & Ece ,Bartlett,6,0.1,1,1,0,0,,,,,10
March 19,5:00-6:30pm,Brenda & Ece ,Bartlett,5,0.3,2,2,0,0,,,,,6.666666667
March 19,5:00-6:30pm,Brenda & Ece ,Bartlett,4,0.2,0,0,0,0,,,,,0
March 19,5:00-6:30pm ,Brenda & Ece ,Bartlett,3,1.1,0,0,0,0,,,,,0
March 20,7:30-9:00pm,Brenda & Meher ,Braeburn,19,1.8,3,3,0,0,,,,,1.666666667
March 20,7:30-9:00pm,Brenda & Meher ,Braeburn,18,1,0,0,0,0,,,,,0
March 20,7:30-9:00pm,Brenda & Meher ,Braeburn,17,1.1,1,1,0,0,,,,,0.9090909091
March 20,7:30-9:00pm,Brenda & Meher ,Braeburn,16,0.7,0,0,0,0,,,,,0
March 20,7:30-9:00pm,Brenda & Meher ,Braeburn,15,0.55,0,0,0,0,,,,,0
March 20,7:30-9:00pm,Brenda & Meher ,Braeburn,14,1.2,2,2,0,0,,,,,1.666666667
March 20,7:30-9:00pm,Brenda & Meher ,Braeburn,13,0.5,0,0,0,0,,,,,0
March 20,7:30-9:00pm,Brenda & Meher ,Braeburn,12,0.45,0,0,0,0,,,,,0
March 20,7:30-9:00pm,Brenda & Meher ,Braeburn,11,1.1,0,0,0,0,,,,,0
March 20,7:30-9:00pm,Brenda & Meher ,Braeburn,10,0.15,0,0,0,0,,,,,0
March 20,7:30-9:00pm,Brenda & Meher ,Braeburn,9,2.15,0,0,0,0,,,,,0
March 20,7:30-9:00pm,Brenda & Meher ,Braeburn,8,0.4,0,0,0,0,,,,,0
March 20,7:30-9:00pm,Brenda & Meher ,Braeburn,7,0.35,0,0,0,0,,,,,0
March 20,7:30-9:00pm,Brenda & Meher ,Braeburn,6,0.65,3,3,0,0,,,,,4.615384615
March 20,7:30-9:00pm,Brenda & Meher ,Braeburn,5,0.15,0,0,0,0,,,,,0
March 20,7:30-9:00pm,Brenda & Meher ,Braeburn,4,0.7,0,0,0,0,,,,,0
March 20,7:30-9:00pm,Brenda & Meher ,Braeburn,3,0.6,1,1,0,0,,,,,1.666666667
March 20,7:30-9:00pm,Brenda & Meher ,Bartlett,20,0.4,1,1,0,0,,,,,2.5
March 20,7:30-9:00pm,Brenda & Meher ,Bartlett,19,1.2,3,3,0,0,,,,,2.5
March 20,7:30-9:00pm,Brenda & Meher ,Bartlett,18,0.2,1,1,0,0,,,,,5
March 20,7:30-9:00pm,Brenda & Meher ,Bartlett,17,1.65,20,19,1,0,,,,,12.12121212
March 20,7:30-9:00pm,Brenda & Meher ,Bartlett,16,0.6,0,0,0,0,,,,,0
March 20,7:30-9:00pm,Brenda & Meher ,Bartlett,15,1.6,15,14,1,0,,,,,9.375
March 20,7:30-9:00pm,Brenda & Meher ,Bartlett,14,1.2,3,3,0,0,,,,,2.5
March 20,7:30-9:00pm,Brenda & Meher ,Bartlett,13,1.3,2,2,0,0,,,,,1.538461538
March 20,7:30-9:00pm,Brenda & Meher ,Bartlett,12,0.25,1,1,0,0,,,,,4
March 20,7:30-9:00pm,Brenda & Meher ,Bartlett,11,0.3,1,1,0,0,,,,,3.333333333
March 20,7:30-9:00pm,Brenda & Meher ,Bartlett,10,0.65,1,0,0,0,Paper Milk Carton w print ,,,,1.538461538
March 20,7:30-9:00pm,Brenda & Meher ,Bartlett,9,0.5,0,0,0,0,,,,,0
March 20,7:30-9:00pm,Brenda & Meher ,Bartlett,8,0.35,0,0,0,0,,,,,0
March 20,7:30-9:00pm,Brenda & Meher ,Bartlett,7,0.45,1,1,0,0,,,,,2.222222222
March 20,7:30-9:00pm,Brenda & Meher ,Bartlett,6,0.65,0,0,0,0,,,,,0
March 20,7:30-9:00pm,Brenda & Meher ,Bartlett,5,0.5,1,1,0,0,,,,,2
March 20,7:30-9:00pm,Brenda & Meher ,Bartlett,4,0.15,1,0,0,0,Pad,,,,6.666666667
March 20,7:30-9:00pm,Brenda & Meher ,Bartlett,3,0.25,0,0,0,0,,,,,0
March 21,5:00-6:30pm,Shannon & Meher,Bartlett,20,1.1,2,2,0,0,,,,,1.818181818
March 21,5:00-6:30pm,Shannon & Meher,Bartlett,19,0.5,1,1,0,0,,,,,2
March 21,5:00-6:30pm,Shannon & Meher,Bartlett,18,0.3,0,0,0,0,,,,,0
March 21,5:00-6:30pm,Shannon & Meher,Bartlett,17,0.9,2,2,0,0,,,,,2.222222222
March 21,5:00-6:30pm,Shannon & Meher,Bartlett,16,0.6,1,1,0,0,,,,,1.666666667
March 21,5:00-6:30pm,Shannon & Meher,Bartlett,15,0.25,0,0,0,0,,,,,0
March 21,5:00-6:30pm,Shannon & Meher,Bartlett,14,0.45,0,0,0,0,,,,,0
March 21,5:00-6:30pm,Shannon & Meher,Bartlett,13,1.1,0,0,0,0,,,,,0
March 21,5:00-6:30pm,Shannon & Meher,Bartlett,12,0.65,1,1,0,0,,,,,1.538461538
March 21,5:00-6:30pm,Shannon & Meher,Bartlett,11,0.5,0,0,0,0,,,,,0
March 21,5:00-6:30pm,Shannon & Meher,Bartlett,10,0.75,0,0,0,0,,,,,0
March 21,5:00-6:30pm,Shannon & Meher,Bartlett,9,0,1,1,0,0,,,,,0
March 21,5:00-6:30pm,Shannon & Meher,Bartlett,8,0.7,0,0,0,0,,,,,0
March 21,5:00-6:30pm,Shannon & Meher,Bartlett,7,0,0,0,0,0,,,,,0
March 21,5:00-6:30pm,Shannon & Meher,Bartlett,6,0.3,0,0,0,0,,,,,0
March 21,5:00-6:30pm,Shannon & Meher,Bartlett,5,0,0,0,0,0,,,,,0
March 21,5:00-6:30pm,Shannon & Meher,Bartlett,4,0,0,0,0,0,,,,,0
March 21,5:00-6:30pm,Shannon & Meher,Bartlett,3,2.15,1,1,0,0,,,,,0.4651162791
March 21,5:00-6:30pm,Shannon & Meher,Braeburn,19,0,0,0,0,0,,,,,0
March 21,5:00-6:30pm,Shannon & Meher,Braeburn,18,0.15,0,0,0,0,,,,,0
March 21,5:00-6:30pm,Shannon & Meher,Braeburn,17,0.3,0,0,0,0,,,,,0
March 21,5:00-6:30pm,Shannon & Meher,Braeburn,16,0,0,0,0,0,,,,,0
March 21,5:00-6:30pm,Shannon & Meher,Braeburn,15,0.45,1,1,0,0,,,,,2.222222222
March 21,5:00-6:30pm,Shannon & Meher,Braeburn,14,0.55,0,0,0,0,,,,,0
March 21,5:00-6:30pm,Shannon & Meher,Braeburn,13,0.35,0,0,0,0,,,,,0
March 21,5:00-6:30pm,Shannon & Meher,Braeburn,12,0.3,0,0,0,0,,,,,0
March 21,5:00-6:30pm,Shannon & Meher,Braeburn,11,0.25,0,0,0,0,,,,,0
March 21,5:00-6:30pm,Shannon & Meher,Braeburn,10,0.25,0,0,0,0,,,,,0
March 21,5:00-6:30pm,Shannon & Meher,Braeburn,9,1.8,2,2,0,0,,condom wrapper + condom :O,,,1.111111111
March 21,5:00-6:30pm,Shannon & Meher,Braeburn,8,0.95,1,1,0,0,,,,,1.052631579
March 21,5:00-6:30pm,Shannon & Meher,Braeburn,7,0.55,0,0,0,0,,,,,0
March 21,5:00-6:30pm,Shannon & Meher,Braeburn,6,0,1,1,0,0,,,,,0
March 21,5:00-6:30pm,Shannon & Meher,Braeburn,5,0,0,0,0,0,,,,,0
March 21,5:00-6:30pm,Shannon & Meher,Braeburn,4,0.4,0,0,0,0,,,,,0
March 21,5:00-6:30pm,Shannon & Meher,Braeburn,3,0,0,0,0,0,,,,,0
March 22,4:30-5:30pm ,Brenda & Ece ,Braeburn,19,0.5,1,1,0,0,,,,,2
March 22,4:30-5:30pm,Brenda & Ece,Braeburn,18,0.35,0,0,0,0,,,,,0
March 22,4:30-5:30pm,Brenda & Ece,Braeburn,17,0.2,0,0,0,0,,,,,0
March 22,4:30-5:30pm,Brenda & Ece,Braeburn,16,0.2,0,0,0,0,,,,,0
March 22,4:30-5:30pm,Brenda & Ece,Braeburn,15,0.25,0,0,0,0,,,,,0
March 22,4:30-5:30pm,Brenda & Ece,Braeburn,14,0,0,0,0,0,,,,,0
March 22,4:30-5:30pm,Brenda & Ece,Braeburn,13,0.3,1,1,0,0,,,,,3.333333333
March 22,4:30-5:30pm,Brenda & Ece,Braeburn,12,0.3,2,2,0,0,,,,,6.666666667
March 22,4:30-5:30pm,Brenda & Ece,Braeburn,11,0.6,4,4,0,0,,,,,6.666666667
March 22,4:30-5:30pm,Brenda & Ece,Braeburn,10,1.1,4,4,0,0,,,,,3.636363636
March 22,4:30-5:30pm,Brenda & Ece,Braeburn,9,1.75,1,1,0,0,,,,,0.5714285714
March 22,4:30-5:30pm,Brenda & Ece,Braeburn,8,1.95,4,4,0,0,,,,,2.051282051
March 22,4:30-5:30pm,Brenda & Ece,Braeburn,7,0.5,0,0,0,0,,,,,0
March 22,4:30-5:30pm,Brenda & Ece,Braeburn,6,0.55,0,0,0,0,,,,,0
March 22,4:30-5:30pm,Brenda & Ece,Braeburn,5,0.25,0,0,0,0,,,,,0
March 22,4:30-5:30pm,Brenda & Ece,Braeburn,4,0.2,0,0,0,0,,,,,0
March 22,4:30-5:30pm,Brenda & Ece,Braeburn,3,0.75,0,0,0,0,,,,,0
March 22,4:30-5:30pm,Brenda & Ece ,Bartlett,20,0.1,0,0,0,0,,,,,0
March 22,4:30-5:30pm,Brenda & Ece ,Bartlett,19,1.2,0,0,0,0,,,,,0
March 22,4:30-5:30pm,Brenda & Ece ,Bartlett,18,0.55,0,0,0,0,,,,,0
March 22,4:30-5:30pm,Brenda & Ece ,Bartlett,17,0.95,1,1,0,0,,,,,1.052631579
March 22,4:30-5:30pm,Brenda & Ece ,Bartlett,16,1.2,0,0,0,0,,,,,0
March 22,4:30-5:30pm,Brenda & Ece ,Bartlett,15,0.45,1,1,0,0,,,,,2.222222222
March 22,4:30-5:30pm,Brenda & Ece ,Bartlett,14,0.45,1,1,0,0,,,,,2.222222222
March 22,4:30-5:30pm,Brenda & Ece ,Bartlett,13,0.15,0,0,0,0,,,,,0
March 22,4:30-5:30pm,Brenda & Ece ,Bartlett,12,0.45,0,0,0,0,,,,,0
March 22,4:30-5:30pm,Brenda & Ece ,Bartlett,11,0.9,0,0,0,0,,,,,0
March 22,4:30-5:30pm,Brenda & Ece ,Bartlett,10,0.35,0,0,0,0,,,,,0
March 22,4:30-5:30pm,Brenda & Ece ,Bartlett,9,0.95,1,1,0,0,,,,,1.052631579
March 22,4:30-5:30pm,Brenda & Ece ,Bartlett,8,0.65,0,0,0,0,,,,,0
March 22,4:30-5:30pm,Brenda & Ece ,Bartlett,7,0.95,0,0,0,0,,,,,0
March 22,4:30-5:30pm,Brenda & Ece ,Bartlett,6,1.65,1,1,0,0,,,,,0.6060606061
March 22,4:30-5:30pm,Brenda & Ece ,Bartlett,5,0.15,0,0,0,0,,,,,0
March 22,4:30-5:30pm,Brenda & Ece ,Bartlett,4,0.25,0,0,0,0,,,,,0
March 22,4:30-5:30pm,Brenda & Ece ,Bartlett,3,0.25,1,1,0,0,,,,,4
