date,building,floor,weight,num_contam,plastic,item_per_kilo
March 4,Bartlett,20,0,0,0,0
March 4,Bartlett,19,0.45,3,3,6.666666667
March 4,Bartlett,18,0,0,0,0
March 4,Bartlett,17,0,0,0,0
March 4,Bartlett,16,0.55,0,0,0
March 4,Bartlett,15,0,1,1,0
March 4,Bartlett,14,0.45,0,0,0
March 4,Bartlett,13,0.85,0,0,0
March 4,Bartlett,12,0.2,0,0,0
March 4,Bartlett,11,0.3,0,0,0
March 4,Bartlett,10,0,0,0,0
March 4,Bartlett,9,0.25,4,4,16
March 4,Bartlett,8,0.4,0,0,0
March 4,Bartlett,7,0.6,1,1,1.666666667
March 4,Bartlett,6,0,2,2,0
March 4,Bartlett,5,0.25,1,1,4
March 4,Bartlett,4,0.2,0,0,0
March 4,Bartlett,3,0,0,0,0
March 4,Braeburn,19,0.3,1,1,3.333333333
March 4,Braeburn,18,0.5,0,0,0
March 4,Braeburn,17,0,1,1,0
March 4,Braeburn,16,0.3,0,0,0
March 4,Braeburn,15,0,1,1,0
March 4,Braeburn,14,0.4,2,2,5
March 4,Braeburn,13,0.35,0,0,0
March 4,Braeburn,12,1.7,6,5,3.529411765
March 4,Braeburn,11,0,0,0,0
March 4,Braeburn,10,0.4,2,2,5
March 4,Braeburn,9,1.85,6,4,3.243243243
March 4,Braeburn,8,0.65,3,3,4.615384615
March 4,Braeburn,7,0,0,0,0
March 4,Braeburn,6,0.3,0,0,0
March 4,Braeburn,5,0,0,0,0
March 4,Braeburn,4,0.25,2,2,8
March 4,Braeburn,3,0.7,0,0,0
March 5,Barlett,20,0.2,0,0,0
March 5,Barlett,29,1.35,2,2,1.481481481
March 5,Barlett,18,0,0,0,0
March 5,Barlett,17,0.45,1,1,2.222222222
March 5,Barlett,16,0.25,1,1,4
March 5,Barlett,15,0.25,0,0,0
March 5,Barlett,14,0.8,1,1,1.25
March 5,Barlett,13,0.15,0,0,0
March 5,Barlett,12,1.25,2,0,1.6
March 5,Barlett,11,0.4,0,0,0
March 5,Barlett,10,0,0,0,0
March 5,Barlett,9,1.1,0,0,0
March 5,Barlett,8,0.2,0,0,0
March 5,Barlett,7,0.55,4,2,7.272727273
March 5,Barlett,6,0,0,0,0
March 5,Barlett,5,0.15,2,2,13.33333333
March 5,Barlett,4,0.35,1,1,2.857142857
March 5,Barlett,3,0.25,0,0,0
March 5,Braeburn,19,0.4,0,0,0
March 5,Braeburn,18,0.75,2,2,2.666666667
March 5,Braeburn,17,0.5,1,0,2
March 5,Braeburn,16,0.2,0,0,0
March 5,Braeburn,15,0.3,2,0,6.666666667
March 5,Braeburn,14,0.25,0,0,0
March 5,Braeburn,13,0.15,0,0,0
March 5,Braeburn,12,0.45,1,1,2.222222222
March 5,Braeburn,11,0.1,0,0,0
March 5,Braeburn,10,0.2,0,0,0
March 5,Braeburn,9,0.13,6,5,46.15384615
March 5,Braeburn,8,0.95,2,1,2.105263158
March 5,Braeburn,7,0.3,0,0,0
March 5,Braeburn,6,0.05,0,0,0
March 5,Braeburn,5,0.15,2,1,13.33333333
March 5,Braeburn,4,0.35,0,0,0
March 5,Braeburn,3,0.8,3,3,3.75
March 6,Bartlett,20,0.3,2,2,6.666666667
March 6,Bartlett,19,0.3,1,1,3.333333333
March 6,Bartlett,18,0,0,0,0
March 6,Bartlett,17,0.4,1,1,2.5
March 6,Bartlett,16,0,0,0,0
March 6,Bartlett,15,0.2,0,0,0
March 6,Bartlett,14,0,0,0,0
March 6,Bartlett,13,0.55,1,1,1.818181818
March 6,Bartlett,12,0,0,0,0
March 6,Bartlett,11,0.25,0,0,0
March 6,Bartlett,10,0.15,0,0,0
March 6,Bartlett,9,0.4,0,0,0
March 6,Bartlett,8,0,1,1,0
March 6,Bartlett,7,0.2,1,1,5
March 6,Bartlett,6,0.15,0,0,0
March 6,Bartlett,5,0.3,3,3,10
March 6,Bartlett,4,0,0,0,0
March 6,Bartlett,3,0,0,0,0
March 6,Braeburn,19,0.65,0,0,0
March 6,Braeburn,18,0.15,3,3,20
March 6,Braeburn,17,0,0,0,0
March 6,Braeburn,16,0.55,0,0,0
March 6,Braeburn,15,0.8,3,3,3.75
March 6,Braeburn,14,1.05,6,6,5.714285714
March 6,Braeburn,13,0,1,1,0
March 6,Braeburn,12,0.35,2,2,5.714285714
March 6,Braeburn,11,0.55,0,0,0
March 6,Braeburn,10,0.5,0,0,0
March 6,Braeburn,9,0.5,1,1,2
March 6,Braeburn,8,0,0,0,0
March 6,Braeburn,7,0,0,0,0
March 6,Braeburn,6,0.2,2,2,10
March 6,Braeburn,5,0.25,0,0,0
March 6,Braeburn,4,0.6,0,0,0
March 6,Braeburn,3,0.25,0,0,0
March 7,Bartlett,20,0,0,0,0
March 7,Bartlett,19,0.4,1,1,2.5
March 7,Bartlett,18,0,0,0,0
March 7,Bartlett,17,0.1,0,0,0
March 7,Bartlett,16,0.25,0,0,0
March 7,Bartlett,15,0.25,0,0,0
March 7,Bartlett,14,0.9,0,0,0
March 7,Bartlett,13,0.25,24,0,96
March 7,Bartlett,12,0.6,0,0,0
March 7,Bartlett,11,0,0,0,0
March 7,Bartlett,10,0.55,2,1,3.636363636
March 7,Bartlett,9,0.3,2,1,6.666666667
March 7,Bartlett,8,0.25,0,0,0
March 7,Bartlett,7,0,0,0,0
March 7,Bartlett,6,0.2,0,0,0
March 7,Bartlett,5,1,3,3,3
March 7,Bartlett,4,0.15,0,0,0
March 7,Bartlett,3,0,0,0,0
March 8,Bartlett,20,2.95,2,2,0.6779661017
March 8,Bartlett,19,0.55,4,4,7.272727273
March 8,Bartlett,18,0.85,1,1,1.176470588
March 8,Bartlett,17,0.75,3,1,4
March 8,Bartlett,16,0.9,0,0,0
March 8,Bartlett,15,0,0,0,0
March 8,Bartlett,14,0,0,0,0
March 8,Bartlett,13,0.8,4,4,5
March 8,Bartlett,12,0.65,3,0,4.615384615
March 8,Bartlett,11,0.2,13,13,65
March 8,Bartlett,10,0.5,0,0,0
March 8,Bartlett,9,1.25,8,8,6.4
March 8,Bartlett,8,0.5,2,2,4
March 8,Bartlett,7,0.55,4,4,7.272727273
March 8,Bartlett,6,0.25,0,0,0
March 8,Bartlett,5,0,1,1,0
March 8,Bartlett,4,1.95,2,2,1.025641026
March 8,Bartlett,3,2.2,1,1,0.4545454545
March 8,Braeburn,19,0.5,1,1,2
March 8,Braeburn,18,0.85,1,1,1.176470588
March 8,Braeburn,17,0.7,0,0,0
March 8,Braeburn,16,0.35,0,0,0
March 8,Braeburn,15,0,2,2,0
March 8,Braeburn,14,0.8,1,1,1.25
March 8,Braeburn,13,0.35,1,1,2.857142857
March 8,Braeburn,12,1.05,1,1,0.9523809524
March 8,Braeburn,11,0,1,1,0
March 8,Braeburn,10,0.25,2,2,8
March 8,Braeburn,9,0.7,2,2,2.857142857
March 8,Braeburn,8,0.75,3,3,4
March 8,Braeburn,7,0.15,0,0,0
March 8,Braeburn,6,0.35,1,1,2.857142857
March 8,Braeburn,5,0,0,0,0
March 8,Braeburn,4,0.45,7,7,15.55555556
March 8,Braeburn,3,0.45,0,0,0
March 18,Bartlett ,20,0,0,0,0
March 18,Bartlett ,19,1.1,7,7,6.363636364
March 18,Bartlett ,18,0,0,0,0
March 18,Bartlett ,17,0.35,0,0,0
March 18,Bartlett ,16,0,0,0,0
March 18,Bartlett ,15,0,1,1,0
March 18,Bartlett ,14,0.25,1,1,4
March 18,Bartlett ,13,0.65,0,0,0
March 18,Bartlett ,12,0.7,0,0,0
March 18,Bartlett ,11,0,0,0,0
March 18,Bartlett ,10,1.2,0,0,0
March 18,Bartlett ,9,0.3,3,2,10
March 18,Bartlett ,8,0,0,0,0
March 18,Bartlett ,7,1.05,0,0,0
March 18,Bartlett ,6,0.35,0,0,0
March 18,Bartlett ,5,0.3,0,0,0
March 18,Bartlett ,4,0.35,0,0,0
March 18,Bartlett ,3,0.2,0,0,0
March 18,Braeburn,19,0.25,0,0,0
March 18,Braeburn,18,0.75,0,0,0
March 18,Braeburn,17,0.45,1,1,2.222222222
March 18,Braeburn,16,0.45,0,0,0
March 18,Braeburn,15,0.45,0,0,0
March 18,Braeburn,14,0,0,0,0
March 18,Braeburn,13,0.2,21,21,105
March 18,Braeburn,12,0.5,1,1,2
March 18,Braeburn,11,0.35,2,2,5.714285714
March 18,Braeburn,10,0.55,1,1,1.818181818
March 18,Braeburn,9,0.5,0,0,0
March 18,Braeburn,8,0.35,0,0,0
March 18,Braeburn,7,0,0,0,0
March 18,Braeburn,6,0.3,1,1,3.333333333
March 18,Braeburn,5,0.2,1,1,5
March 18,Braeburn,4,0.6,1,1,1.666666667
March 18,Braeburn,3,0.4,3,3,7.5
March 19,Braeburn,19,0.2,0,0,0
March 19,Braeburn,18,0.8,0,0,0
March 19,Braeburn,17,0.3,1,1,3.333333333
March 19,Braeburn,16,1.01,0,0,0
March 19,Braeburn,15,0.35,0,0,0
March 19,Braeburn,14,1.1,4,4,3.636363636
March 19,Braeburn,13,0.1,1,1,10
March 19,Braeburn,12,0.1,0,0,0
March 19,Braeburn,11,0.75,1,1,1.333333333
March 19,Braeburn,10,0.25,0,0,0
March 19,Braeburn,9,0,0,0,0
March 19,Braeburn,8,0.45,0,0,0
March 19,Braeburn,7,0.4,0,0,0
March 19,Braeburn,6,0.25,0,0,0
March 19,Braeburn,5,0.55,2,2,3.636363636
March 19,Braeburn,4,0.7,0,0,0
March 19,Braeburn,3,0.35,1,1,2.857142857
March 19,Bartlett ,20,0.2,0,0,0
March 19,Bartlett,19,0.45,0,0,0
March 19,Bartlett,18,0.1,0,0,0
March 19,Bartlett,17,0.7,0,0,0
March 19,Bartlett,16,0.35,0,0,0
March 19,Bartlett,15,1.9,6,6,3.157894737
March 19,Bartlett,14,0.35,0,0,0
March 19,Bartlett,13,2.35,1,1,0.4255319149
March 19,Bartlett,12,0.6,2,2,3.333333333
March 19,Bartlett,11,0.15,1,1,6.666666667
March 19,Bartlett,10,0.55,1,1,1.818181818
March 19,Bartlett,9,0.2,1,1,5
March 19,Bartlett,8,0.5,0,0,0
March 19,Bartlett,7,0.2,1,1,5
March 19,Bartlett,6,0.1,1,1,10
March 19,Bartlett,5,0.3,2,2,6.666666667
March 19,Bartlett,4,0.2,0,0,0
March 19,Bartlett,3,1.1,0,0,0
March 20,Braeburn,19,1.8,3,3,1.666666667
March 20,Braeburn,18,1,0,0,0
March 20,Braeburn,17,1.1,1,1,0.9090909091
March 20,Braeburn,16,0.7,0,0,0
March 20,Braeburn,15,0.55,0,0,0
March 20,Braeburn,14,1.2,2,2,1.666666667
March 20,Braeburn,13,0.5,0,0,0
March 20,Braeburn,12,0.45,0,0,0
March 20,Braeburn,11,1.1,0,0,0
March 20,Braeburn,10,0.15,0,0,0
March 20,Braeburn,9,2.15,0,0,0
March 20,Braeburn,8,0.4,0,0,0
March 20,Braeburn,7,0.35,0,0,0
March 20,Braeburn,6,0.65,3,3,4.615384615
March 20,Braeburn,5,0.15,0,0,0
March 20,Braeburn,4,0.7,0,0,0
March 20,Braeburn,3,0.6,1,1,1.666666667
March 20,Bartlett,20,0.4,1,1,2.5
March 20,Bartlett,19,1.2,3,3,2.5
March 20,Bartlett,18,0.2,1,1,5
March 20,Bartlett,17,1.65,20,19,12.12121212
March 20,Bartlett,16,0.6,0,0,0
March 20,Bartlett,15,1.6,15,14,9.375
March 20,Bartlett,14,1.2,3,3,2.5
March 20,Bartlett,13,1.3,2,2,1.538461538
March 20,Bartlett,12,0.25,1,1,4
March 20,Bartlett,11,0.3,1,1,3.333333333
March 20,Bartlett,10,0.65,1,0,1.538461538
March 20,Bartlett,9,0.5,0,0,0
March 20,Bartlett,8,0.35,0,0,0
March 20,Bartlett,7,0.45,1,1,2.222222222
March 20,Bartlett,6,0.65,0,0,0
March 20,Bartlett,5,0.5,1,1,2
March 20,Bartlett,4,0.15,1,0,6.666666667
March 20,Bartlett,3,0.25,0,0,0
March 21,Bartlett,20,1.1,2,2,1.818181818
March 21,Bartlett,19,0.5,1,1,2
March 21,Bartlett,18,0.3,0,0,0
March 21,Bartlett,17,0.9,2,2,2.222222222
March 21,Bartlett,16,0.6,1,1,1.666666667
March 21,Bartlett,15,0.25,0,0,0
March 21,Bartlett,14,0.45,0,0,0
March 21,Bartlett,13,1.1,0,0,0
March 21,Bartlett,12,0.65,1,1,1.538461538
March 21,Bartlett,11,0.5,0,0,0
March 21,Bartlett,10,0.75,0,0,0
March 21,Bartlett,9,0,1,1,0
March 21,Bartlett,8,0.7,0,0,0
March 21,Bartlett,7,0,0,0,0
March 21,Bartlett,6,0.3,0,0,0
March 21,Bartlett,5,0,0,0,0
March 21,Bartlett,4,0,0,0,0
March 21,Bartlett,3,2.15,1,1,0.4651162791
March 21,Braeburn,19,0,0,0,0
March 21,Braeburn,18,0.15,0,0,0
March 21,Braeburn,17,0.3,0,0,0
March 21,Braeburn,16,0,0,0,0
March 21,Braeburn,15,0.45,1,1,2.222222222
March 21,Braeburn,14,0.55,0,0,0
March 21,Braeburn,13,0.35,0,0,0
March 21,Braeburn,12,0.3,0,0,0
March 21,Braeburn,11,0.25,0,0,0
March 21,Braeburn,10,0.25,0,0,0
March 21,Braeburn,9,1.8,2,2,1.111111111
March 21,Braeburn,8,0.95,1,1,1.052631579
March 21,Braeburn,7,0.55,0,0,0
March 21,Braeburn,6,0,1,1,0
March 21,Braeburn,5,0,0,0,0
March 21,Braeburn,4,0.4,0,0,0
March 21,Braeburn,3,0,0,0,0
March 22,Braeburn,19,0.5,1,1,2
March 22,Braeburn,18,0.35,0,0,0
March 22,Braeburn,17,0.2,0,0,0
March 22,Braeburn,16,0.2,0,0,0
March 22,Braeburn,15,0.25,0,0,0
March 22,Braeburn,14,0,0,0,0
March 22,Braeburn,13,0.3,1,1,3.333333333
March 22,Braeburn,12,0.3,2,2,6.666666667
March 22,Braeburn,11,0.6,4,4,6.666666667
March 22,Braeburn,10,1.1,4,4,3.636363636
March 22,Braeburn,9,1.75,1,1,0.5714285714
March 22,Braeburn,8,1.95,4,4,2.051282051
March 22,Braeburn,7,0.5,0,0,0
March 22,Braeburn,6,0.55,0,0,0
March 22,Braeburn,5,0.25,0,0,0
March 22,Braeburn,4,0.2,0,0,0
March 22,Braeburn,3,0.75,0,0,0
March 22,Bartlett,20,0.1,0,0,0
March 22,Bartlett,19,1.2,0,0,0
March 22,Bartlett,18,0.55,0,0,0
March 22,Bartlett,17,0.95,1,1,1.052631579
March 22,Bartlett,16,1.2,0,0,0
March 22,Bartlett,15,0.45,1,1,2.222222222
March 22,Bartlett,14,0.45,1,1,2.222222222
March 22,Bartlett,13,0.15,0,0,0
March 22,Bartlett,12,0.45,0,0,0
March 22,Bartlett,11,0.9,0,0,0
March 22,Bartlett,10,0.35,0,0,0
March 22,Bartlett,9,0.95,1,1,1.052631579
March 22,Bartlett,8,0.65,0,0,0
March 22,Bartlett,7,0.95,0,0,0
March 22,Bartlett,6,1.65,1,1,0.6060606061
March 22,Bartlett,5,0.15,0,0,0
March 22,Bartlett,4,0.25,0,0,0
March 22,Bartlett,3,0.25,1,1,4
